award_id,award_name,award_type,award_category
163,MTV Europe Music Award for Best French Act,MTV Europe Music Award,Best French Act
164,Teen Choice Awards,Teen Choice Awards,
165,MTV Europe Music Award for Best Indian Act,MTV Europe Music Award,Best Indian Act
166,Brit Award for British Female Solo Artist,Brit Award,British Female Solo Artist
167,MTV Europe Music Award for Best US Act,MTV Europe Music Award,Best US Act
168,Edison Music Awards,Edison Music Awards,
169,Americana Award for Emerging Act of the Year,Americana Award,Emerging Act of the Year
170,Premio Lo Nuestro,Premio Lo Nuestro,
171,iHeartRadio Music Awards,iHeartRadio Music Awards,
172,Juno Award for Electronic Album of the Year,Juno Award,Electronic Album of the Year
173,Juno Award for Breakthrough Artist of the Year,Juno Award,Breakthrough Artist of the Year
174,Kids' Choice Award for Favorite TV Actress,Kids' Choice Award,Favorite TV Actress
175,GLAAD Media Award for Outstanding Music Artist,GLAAD Media Award,Outstanding Music Artist
176,Spellemannprisen for hit of the year,Spellemannprisen,hit of the year
177,the P3 award,the P3 award,
178,MTV Europe Music Award for Best Australian Act,MTV Europe Music Award,Best Australian Act
179,MTV Europe Music Award for Best Nordic Act,MTV Europe Music Award,Best Nordic Act
180,MTV Europe Music Award for Best Swedish Act,MTV Europe Music Award,Best Swedish Act
181,Spellemann Awards for best international success of the year,Spellemann Awards,best international success of the year
182,Spellemann Award for singer of the year,Spellemann Award,singer of the year
183,MTV MIAW Awards Brazil,MTV MIAW Awards Brazil,
184,Latin Music Italian Awards,Latin Music Italian Awards,
185,Soribada Best K-Music Awards,Soribada Best K-Music Awards,
186,Seoul Music Award for Rookie of the Year,Seoul Music Award,Rookie of the Year
187,Latin Grammy Award for Best Rap/Hip Hop Song,Latin Grammy Award,Best Rap/Hip Hop Song
188,Latin Grammy Award for Best Recording Package,Latin Grammy Award,Best Recording Package
189,First prize of the Eurovision Song Contest,First prize of the Eurovision Song Contest,
190,MTV Europe Music Award for Best Korean Act,MTV Europe Music Award,Best Korean Act
191,P3 Gull for Artist of the Year,P3 Gull,Artist of the Year
192,Premios Musa,Premios Musa,
