award_id,award_name,award_type,award_category,award_class
181,Spellemann Awards for best international success of the year,Spellemann Awards,best international success of the year,SpellemannAward
182,Spellemann Award for singer of the year,Spellemann Award,singer of the year,SpellemannAward
183,MTV MIAW Awards Brazil,MTV MIAW Awards Brazil,_,MTVAward
184,Latin Music Italian Awards,Latin Music Italian Awards,_,GenericAward
185,Soribada Best K-Music Awards,Soribada Best K-Music Awards,_,GenericAward
186,Seoul Music Award for Rookie of the Year,Seoul Music Award,Rookie of the Year,GenericAward
187,Latin Grammy Award for Best Rap/Hip Hop Song,Latin Grammy Award,Best Rap/Hip Hop Song,GrammyAward
188,Latin Grammy Award for Best Recording Package,Latin Grammy Award,Best Recording Package,GrammyAward
189,First prize of the Eurovision Song Contest,First prize of the Eurovision Song Contest,_,GenericAward
190,MTV Europe Music Award for Best Korean Act,MTV Europe Music Award,Best Korean Act,MTVAward
191,P3 Gull for Artist of the Year,P3 Gull,Artist of the Year,GenericAward
192,Premios Musa,Premios Musa,_,GenericAward
