artist_spotify_id,award_id,award_year
7guDJrEfX3qb6FEbdPA5qi,11,2004
7guDJrEfX3qb6FEbdPA5qi,13,1996
7guDJrEfX3qb6FEbdPA5qi,56,2009
3ipn9JLAPI5GUEo4y4jcoi,8,2005
23zg3TcAtWQy7J6upgbUnj,8,2005
4PPoI9LuYeFX8V674Z1R6l,34,_
4PPoI9LuYeFX8V674Z1R6l,34,2002
4PPoI9LuYeFX8V674Z1R6l,34,2003
4PPoI9LuYeFX8V674Z1R6l,34,2004
4PPoI9LuYeFX8V674Z1R6l,34,2008
4PPoI9LuYeFX8V674Z1R6l,34,2009
4PPoI9LuYeFX8V674Z1R6l,34,2011
4PPoI9LuYeFX8V674Z1R6l,34,2013
4PPoI9LuYeFX8V674Z1R6l,34,2021
6sq1yF0OZEWA4xoXVKW1L9,34,2000
6sq1yF0OZEWA4xoXVKW1L9,34,2004
6sq1yF0OZEWA4xoXVKW1L9,34,2020
6kACVPfCOnqzgfEF5ryl0x,60,_
6kACVPfCOnqzgfEF5ryl0x,13,1999
6kACVPfCOnqzgfEF5ryl0x,61,2003
6kACVPfCOnqzgfEF5ryl0x,62,2002
4lxfqrEsLX6N1N4OCSkILp,31,1997
4lxfqrEsLX6N1N4OCSkILp,11,2010
3dRfiJ2650SZu6GbydcHNb,63,2007
3dRfiJ2650SZu6GbydcHNb,64,_
3dRfiJ2650SZu6GbydcHNb,48,_
3dRfiJ2650SZu6GbydcHNb,65,1970
3dRfiJ2650SZu6GbydcHNb,66,1974
3dRfiJ2650SZu6GbydcHNb,48,1976
7An4yvF7hDYDolN4m5zKBp,67,2023
7v4imS0moSyGdXyLgVTIV7,13,1990
0SfsnGyD8FpIN4U4WCkBZ5,68,2019
0SfsnGyD8FpIN4U4WCkBZ5,28,_
2QWIScpFDNxmS6ZEMIUvgm,69,_
3eqjTLE0HfPfh78zjh6TqT,31,2013
4mN0qcMxWX8oToqfDPM5yV,67,2004
3hYtANQYrE6pd2PbtEyTIy,67,2007
3Z02hBLubJxuFJfhacLSDc,70,1984
3Z02hBLubJxuFJfhacLSDc,70,1985
3Z02hBLubJxuFJfhacLSDc,70,1999
3Z02hBLubJxuFJfhacLSDc,71,1992
3Z02hBLubJxuFJfhacLSDc,72,1984
3Z02hBLubJxuFJfhacLSDc,72,1992
49e4v89VmlDcFCMyDv9wQ9,13,2009
2jw70GZXlAI8QzWeY2bgRc,22,2010
2jw70GZXlAI8QzWeY2bgRc,39,2001
4Yttlv9ndGjCDCVLqM7ACq,73,2010
2gBjLmx6zQnFGQJCAQpRgw,8,2003
7FsRH5bw8iWpSbMX1G7xf1,74,2003
7FsRH5bw8iWpSbMX1G7xf1,74,2006
6ZjFtWeHP9XN7FeKSUe80S,13,1962
5M52tdBnJaKSvOpJGz8mfZ,29,2000
5M52tdBnJaKSvOpJGz8mfZ,29,2014
5M52tdBnJaKSvOpJGz8mfZ,13,2019
4x1nvY2FN8jxqAFA0DA02H,13,1991
4x1nvY2FN8jxqAFA0DA02H,48,1970
22WZ7M8sxp5THdruNY3gXt,13,2007
4KWTAlx2RvbpseOGMEmROg,75,2006
27T030eWyCQRmDyuvr1kxY,76,1992
27T030eWyCQRmDyuvr1kxY,77,2009
2Kx7MNY7cI1ENniW7vT30N,9,2005
2Kx7MNY7cI1ENniW7vT30N,5,2008
3jOstUTkEu2JkjvRdBA5Gu,15,2008
5yxyJsFanEAuwSM5kOuZKc,78,2004
3koiLjNrgRTNbOwViDipeA,13,1996
19ra5tSw0tWufvUp8GotLo,29,1988
4yiQZ8tQPux8cPriYMWUFP,44,2005
4yiQZ8tQPux8cPriYMWUFP,8,2002
3oDbviiivRWhXwIE8hxkVV,13,2001
32vWCbZh0xZ4o9gkz4PsEU,60,_
32vWCbZh0xZ4o9gkz4PsEU,79,1981
32vWCbZh0xZ4o9gkz4PsEU,11,2007
32vWCbZh0xZ4o9gkz4PsEU,80,1978
32vWCbZh0xZ4o9gkz4PsEU,13,2010
32vWCbZh0xZ4o9gkz4PsEU,13,2011
32vWCbZh0xZ4o9gkz4PsEU,81,1978
2elBjNSdBE2Y3f0j1mjrql,82,_
5e4Dhzv426EvQe3aDb64jL,70,2000
5e4Dhzv426EvQe3aDb64jL,79,1998
5e4Dhzv426EvQe3aDb64jL,79,1999
5e4Dhzv426EvQe3aDb64jL,44,2000
5e4Dhzv426EvQe3aDb64jL,80,1999
5e4Dhzv426EvQe3aDb64jL,83,2004
5e4Dhzv426EvQe3aDb64jL,84,1996
5e4Dhzv426EvQe3aDb64jL,71,1997
5e4Dhzv426EvQe3aDb64jL,85,1995
5e4Dhzv426EvQe3aDb64jL,86,1997
5e4Dhzv426EvQe3aDb64jL,86,1999
5e4Dhzv426EvQe3aDb64jL,86,2000
6uRJnvQ3f8whVnmeoecv5Z,87,2004
6uRJnvQ3f8whVnmeoecv5Z,88,2016
6PAt558ZEZl0DmdXlnjMgD,13,2006
74ASZWbe4lXaubB36ztrGX,50,_
74ASZWbe4lXaubB36ztrGX,1,1990
74ASZWbe4lXaubB36ztrGX,89,1998
74ASZWbe4lXaubB36ztrGX,89,2002
74ASZWbe4lXaubB36ztrGX,10,1980
74ASZWbe4lXaubB36ztrGX,10,1998
74ASZWbe4lXaubB36ztrGX,90,2007
74ASZWbe4lXaubB36ztrGX,59,2007
74ASZWbe4lXaubB36ztrGX,5,1973
74ASZWbe4lXaubB36ztrGX,5,1998
74ASZWbe4lXaubB36ztrGX,13,1991
74ASZWbe4lXaubB36ztrGX,91,1995
74ASZWbe4lXaubB36ztrGX,18,2001
19eLuQmk9aCobbVDHc6eek,13,1972
2jzc5TC5TVFLXQlBNiIUzE,92,1985
2jzc5TC5TVFLXQlBNiIUzE,92,1986
2jzc5TC5TVFLXQlBNiIUzE,93,1985
2jzc5TC5TVFLXQlBNiIUzE,94,1986
2jzc5TC5TVFLXQlBNiIUzE,94,2000
2jzc5TC5TVFLXQlBNiIUzE,95,1986
2jzc5TC5TVFLXQlBNiIUzE,95,2000
2jzc5TC5TVFLXQlBNiIUzE,95,2010
5V0MlUE1Bft0mbLlND7FJz,13,1967
70cRZdQywnSFp9pnc2WTCE,13,2003
4STHEaNw4mPZ2tzheohgXB,50,_
4STHEaNw4mPZ2tzheohgXB,31,2012
4STHEaNw4mPZ2tzheohgXB,13,1990
4STHEaNw4mPZ2tzheohgXB,56,2010
4STHEaNw4mPZ2tzheohgXB,48,1970
4MXUO7sVCaFgFjoTI5ox5c,96,2005
5a2EaR3hamoenG9rDuVn8j,29,_
5a2EaR3hamoenG9rDuVn8j,65,1985
5a2EaR3hamoenG9rDuVn8j,32,2007
5W5bDNCqJ1jbCgTxDD0Cb3,97,2007
5W5bDNCqJ1jbCgTxDD0Cb3,79,1980
5W5bDNCqJ1jbCgTxDD0Cb3,60,2012
5W5bDNCqJ1jbCgTxDD0Cb3,80,1979
5W5bDNCqJ1jbCgTxDD0Cb3,98,1975
5W5bDNCqJ1jbCgTxDD0Cb3,98,1978
5W5bDNCqJ1jbCgTxDD0Cb3,98,1982
5W5bDNCqJ1jbCgTxDD0Cb3,99,1982
5W5bDNCqJ1jbCgTxDD0Cb3,99,1984
5W5bDNCqJ1jbCgTxDD0Cb3,99,1986
5W5bDNCqJ1jbCgTxDD0Cb3,99,1987
5W5bDNCqJ1jbCgTxDD0Cb3,81,1983
5W5bDNCqJ1jbCgTxDD0Cb3,56,2015
44NX2ffIYHr6D4n7RaZF7A,97,2017
44NX2ffIYHr6D4n7RaZF7A,11,2015
4mxWe1mtYIYfP040G38yvS,60,_
4mxWe1mtYIYfP040G38yvS,79,2002
4mxWe1mtYIYfP040G38yvS,80,1995
4mxWe1mtYIYfP040G38yvS,80,2002
4mxWe1mtYIYfP040G38yvS,80,2003
4mxWe1mtYIYfP040G38yvS,81,1994
4cPHsZM98sKzmV26wlwD2W,13,_
5rkVyNGXEgeUqKkB5ccK83,29,_
6AcOTCYBMvjKYy4zms0kaC,74,2000
6AcOTCYBMvjKYy4zms0kaC,74,2001
6AcOTCYBMvjKYy4zms0kaC,74,2004
6AcOTCYBMvjKYy4zms0kaC,74,2005
6AcOTCYBMvjKYy4zms0kaC,74,2010
7mnBLXK823vNxN3UWB7Gfz,29,_
6GI52t8N5F02MxU0g5U69P,5,2000
6GI52t8N5F02MxU0g5U69P,9,_
776Uo845nYHJpNaStv1Ds4,13,1992
3RGLhK1IP9jnYFH4BRFJBS,0,_
60df5JBRRPcnSpsIMxxwQm,29,_
60df5JBRRPcnSpsIMxxwQm,13,1999
0Ty63ceoRnnJKVEYP0VQpk,0,_
0Ty63ceoRnnJKVEYP0VQpk,1,1982
0Ty63ceoRnnJKVEYP0VQpk,31,2004
0Ty63ceoRnnJKVEYP0VQpk,50,2017
0Ty63ceoRnnJKVEYP0VQpk,16,1984
1QOmebWGB6FdFtW7Bo3F0W,54,2010
1QOmebWGB6FdFtW7Bo3F0W,53,2006
1QOmebWGB6FdFtW7Bo3F0W,53,2007
1QOmebWGB6FdFtW7Bo3F0W,53,2010
7nwUJBm0HE4ZxD3f5cy5ok,31,2008
7nwUJBm0HE4ZxD3f5cy5ok,36,1967
7nwUJBm0HE4ZxD3f5cy5ok,36,1968
7nwUJBm0HE4ZxD3f5cy5ok,36,1969
7nwUJBm0HE4ZxD3f5cy5ok,36,1970
7nwUJBm0HE4ZxD3f5cy5ok,36,1971
7nwUJBm0HE4ZxD3f5cy5ok,36,1972
