spotify_artist_id,youtube_channel_id
3GBPw9NK25X1Wt2OUvOwY3,UCGtoY2YzP_nP54-aRK8s7VA
3GBPw9NK25X1Wt2OUvOwY3,UCRa17gWCZmdxEymLdXQhj9A
1G9G7WwrXka3Z1r7aIDjI7,UCaziuyHLR37c2jBkHrYSQMA
3Mcii5XWf6E0lrY3Uky4cA,UCcFrOIMXUrmX4hxgVSLrAiQ
3Mcii5XWf6E0lrY3Uky4cA,UCRZvImLvRIE5BoZvmVHMTqw
4lxfqrEsLX6N1N4OCSkILp,UC4JeRiQvPQ_nb1BZWjk9QoA
7An4yvF7hDYDolN4m5zKBp,UC_MAancGcA0YeACrpSwokhQ
20qISvAhX20dpIbOOzGK3q,UChE4aVxHHk5Mx9fZ2DaPJGw
4V8Sr092TqfHkfAA5fXXqG,UCLp8RBhQHu9wSsq62j_Md6A
4V8Sr092TqfHkfAA5fXXqG,UCxoq-PAQeAdk_zyg8YS0JqA
5rSXSAkZ67PYJSvpUpkOr7,UC1OR2YNQLZJYFdQjFrPWvVw
0ZCO8oVkMj897cKgFH7fRW,UCPeGv4l3-gJvuJ4IJ47QC7Q
0ZCO8oVkMj897cKgFH7fRW,UCYTPYsuIRSu7o9xmeB_L4_g
2qxJFvFYMEDqd7ui6kSAcq,UCFzm6oAGFmmZfkrzQ5wATSQ
2qxJFvFYMEDqd7ui6kSAcq,UCPNokRZ9hacjIQ3IQL6HNUQ
7v4imS0moSyGdXyLgVTIV7,UCirPLQsYtHWBmalEbX1LcAA
0SfsnGyD8FpIN4U4WCkBZ5,UCu5jfQcpRLm9xhmlSd5S8xw
5gCRApTajqwbnHHPbr2Fpi,UCTxUwcJJWYy63YgJbJXRF7g
2QWIScpFDNxmS6ZEMIUvgm,UC6KLIUd2VaVN8Aik3PxO13A
2QWIScpFDNxmS6ZEMIUvgm,UCwWwGhSVOjbhZSBh-Wa3xTw
3eqjTLE0HfPfh78zjh6TqT,UCcu7ANuD9J7hnTQCREqIc4Q
5lpH0xAS4fVfLkACg9DAuM,UCT41vlFeZ_asAUCY7BOiJVQ
4mN0qcMxWX8oToqfDPM5yV,UCSPwNgHHyAtHanVaGN2LLWA
3hYtANQYrE6pd2PbtEyTIy,UCaflwdWdaSGPNSyrAG0Uffw
3hYtANQYrE6pd2PbtEyTIy,UCcAeCxhKNEZ-KkCr6yTLhEw
3hYtANQYrE6pd2PbtEyTIy,UChQnpRseYKnIOz5Mc1VDTKQ
3Z02hBLubJxuFJfhacLSDc,UC58iZEkGZi7ETeXizx_03vg
3Z02hBLubJxuFJfhacLSDc,UCxuYPUdTZHRZKVRZ1km1plw
49e4v89VmlDcFCMyDv9wQ9,UC_mPFw8OyrxpIlo9TH325Wg
49e4v89VmlDcFCMyDv9wQ9,UCWbQ2D5aaB4tpqIE4TzTAAA
2jw70GZXlAI8QzWeY2bgRc,UC5Y-gAeGpzgzu0ObzKnhPFA
2jw70GZXlAI8QzWeY2bgRc,UCrSczPA0uxFM-PgWOeDX-ew
7slfeZO9LsJbWgpkIoXBUJ,UCGkkG-VYVXenlhVIqjH-9oA
2DlGxzQSjYe5N6G9nkYghR,UCr8RjWUQ_9KYcIPmWiqBroQ
2DlGxzQSjYe5N6G9nkYghR,UCx1f1u4XlFFr0YgqF3wB4lQ
4NJhFmfw43RLBLjQvxDuRS,UCmeFxYk5BSbJGWN9OgTAIhw
2MRBDr0crHWE5JwPceFncq,UCWANPVmVKsJUg2ed9hK2r9w
2gBjLmx6zQnFGQJCAQpRgw,UCOnzS9RKEhSvfUCsFbSrJ_A
2gBjLmx6zQnFGQJCAQpRgw,UCzQNgpWWPLuoAC6zA3VejzA
7y97mc3bZRFXzT2szRM4L4,UCyTnUReB5s38R-ZKlb2wyVg
4S9EykWXhStSc15wEx8QFK,UC_yGU4qz9zAjEWLQxCg9NZQ
4S9EykWXhStSc15wEx8QFK,UCh6C5LG14uZKmwCgGxf-nDQ
4AVFqumd2ogHFlRbKIjp1t,UC05i95k-w8CvrtZ-yGTob7A
2ae6PxICSOZHvjqiCcgon8,UCrSit4ra9GmGH6Z0SczTATg
1dVygo6tRFXC8CSWURQJq2,UCDYFISYJx2tSc6cyhvx0N5Q
4fEkbug6kZzzJ8eYX6Kbbp,UC5JW1e1X4R34JHs-t34U2Vw
0TeVa4xdLB8vdzjsvKH6Ri,UCpPhbXeFOb32k82-f-Qt7rQ
6mdiAmATAx73kdxrNrnlao,UCaisXKBdNOYqGr2qOXCLchQ
5M52tdBnJaKSvOpJGz8mfZ,UCc2JGDorWnjhrXwxo4qXSbA
5M52tdBnJaKSvOpJGz8mfZ,UCrx-X329UKv0Y06VhfpFVvw
19i93sA0D7yS9dYoVNBqAA,UCx8aPJsCX-azt-G6Y5teOpA
165ZgPlLkK7bf5bDoFc6Sb,UCCndqRyI-5Zl8Mutlq71ASw
165ZgPlLkK7bf5bDoFc6Sb,UCXe06VQdj4l_LyuUGh__DQg
4x1nvY2FN8jxqAFA0DA02H,UCYU4eunPInnHTNWfGvOgkbg
3TOqt5oJwL9BE2NG9MEwDa,UCveWMJeHgcIUPMnFzd7Vxjg
22WZ7M8sxp5THdruNY3gXt,UCYgJ2M1mq8Ae0QOm_VQU4VQ
4KWTAlx2RvbpseOGMEmROg,UC7eaRqtonpyiYw0Pns0Au_g
4KWTAlx2RvbpseOGMEmROg,UCZQMYjqm_j5mBVTfPcCy3FA
27T030eWyCQRmDyuvr1kxY,UCcvnDgwSH5Dl2b3Bxfz4OCQ
